Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign Up,Chrome 127.0.0.0,3 times,,21-08-2024 01:16:45,21-08-2024 01:17:20,34.438s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 01:16:46,21-08-2024 01:17:04,18.069s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 01:16:46,21-08-2024 01:16:59,13.223s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,21-08-2024 01:16:59,21-08-2024 01:16:59,0.098s,PASSED
"click(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/Sign Up(1)""))",Chrome 127.0.0.0,,,21-08-2024 01:16:59,21-08-2024 01:17:03,3.657s,PASSED
"sendKeys(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__name""), name)",Chrome 127.0.0.0,,,21-08-2024 01:17:03,21-08-2024 01:17:03,0.590s,PASSED
"setText(findTestObject(null), """")",Chrome 127.0.0.0,,,21-08-2024 01:17:03,21-08-2024 01:17:04,0.252s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 01:17:04,21-08-2024 01:17:18,14.129s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 01:17:04,21-08-2024 01:17:18,14.086s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,21-08-2024 01:17:18,21-08-2024 01:17:18,0.016s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 01:17:18,21-08-2024 01:17:20,1.913s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 01:17:18,21-08-2024 01:17:20,1.881s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,21-08-2024 01:17:20,21-08-2024 01:17:20,0.013s,FAILED
