Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign Up,Chrome 127.0.0.0,3 times,,21-08-2024 14:59:50,21-08-2024 15:01:55,2m - 4.957s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 14:59:50,21-08-2024 15:00:38,48.237s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 14:59:51,21-08-2024 15:00:01,10.969s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,21-08-2024 15:00:01,21-08-2024 15:00:02,0.089s,PASSED
"click(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/Sign Up(1)""))",Chrome 127.0.0.0,,,21-08-2024 15:00:02,21-08-2024 15:00:06,4.412s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__name""), name)",Chrome 127.0.0.0,,,21-08-2024 15:00:06,21-08-2024 15:00:07,0.859s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__zipcode""), zipcode)",Chrome 127.0.0.0,,,21-08-2024 15:00:07,21-08-2024 15:00:38,31.581s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 15:00:38,21-08-2024 15:01:52,1m - 13.878s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 15:00:39,21-08-2024 15:01:15,36.542s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,21-08-2024 15:01:15,21-08-2024 15:01:15,0.047s,PASSED
"click(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/Sign Up(1)""))",Chrome 127.0.0.0,,,21-08-2024 15:01:15,21-08-2024 15:01:20,4.992s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__name""), name)",Chrome 127.0.0.0,,,21-08-2024 15:01:20,21-08-2024 15:01:21,0.859s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__zipcode""), zipcode)",Chrome 127.0.0.0,,,21-08-2024 15:01:21,21-08-2024 15:01:52,31.404s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 15:01:52,21-08-2024 15:01:55,2.513s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 15:01:52,21-08-2024 15:01:55,2.470s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,21-08-2024 15:01:55,21-08-2024 15:01:55,0.026s,FAILED
