Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign Up,Chrome 127.0.0.0,3 times,,21-08-2024 15:14:31,21-08-2024 15:14:38,6.739s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up Data driven,Chrome 127.0.0.0,,,21-08-2024 15:14:32,21-08-2024 15:14:35,3.109s,FAILED
"openBrowser(""ing-connections-qa.azurewebsites.net"")",Chrome 127.0.0.0,,,21-08-2024 15:14:32,21-08-2024 15:14:35,2.853s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up Data driven,Chrome 127.0.0.0,,,21-08-2024 15:14:35,21-08-2024 15:14:36,1.672s,FAILED
"openBrowser(""ing-connections-qa.azurewebsites.net"")",Chrome 127.0.0.0,,,21-08-2024 15:14:35,21-08-2024 15:14:36,1.647s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up Data driven,Chrome 127.0.0.0,,,21-08-2024 15:14:37,21-08-2024 15:14:38,1.604s,FAILED
"openBrowser(""ing-connections-qa.azurewebsites.net"")",Chrome 127.0.0.0,,,21-08-2024 15:14:37,21-08-2024 15:14:38,1.569s,FAILED
