Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign Up,Chrome 127.0.0.0,3 times,,21-08-2024 01:09:07,21-08-2024 01:10:19,1m - 11.692s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 01:09:07,21-08-2024 01:09:56,48.761s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 01:09:08,21-08-2024 01:09:22,14.705s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,21-08-2024 01:09:22,21-08-2024 01:09:22,0.060s,PASSED
"click(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/Sign Up(1)""))",Chrome 127.0.0.0,,,21-08-2024 01:09:22,21-08-2024 01:09:24,1.693s,PASSED
"sendKeys(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__name""), name)",Chrome 127.0.0.0,,,21-08-2024 01:09:24,21-08-2024 01:09:25,0.580s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__zipcode""), zipcode)",Chrome 127.0.0.0,,,21-08-2024 01:09:25,21-08-2024 01:09:56,31.460s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 01:09:56,21-08-2024 01:10:19,22.564s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 01:09:56,21-08-2024 01:10:11,15.215s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,21-08-2024 01:10:11,21-08-2024 01:10:12,0.093s,PASSED
"click(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/Sign Up(1)""))",Chrome 127.0.0.0,,,21-08-2024 01:10:12,21-08-2024 01:10:13,1.605s,PASSED
"sendKeys(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__name""), name)",Chrome 127.0.0.0,,,21-08-2024 01:10:13,21-08-2024 01:10:14,0.574s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__zipcode""), zipcode)",Chrome 127.0.0.0,,,21-08-2024 01:10:14,21-08-2024 01:10:19,5.054s,FAILED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,21-08-2024 01:10:19,21-08-2024 01:10:19,0.036s,FAILED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,21-08-2024 01:10:19,21-08-2024 01:10:19,0.013s,FAILED
